window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,delta_vs_rbf_rmse,delta_vs_rbf_wrong_side,delta_vs_rbf_large_recall,delta_vs_rbf_difficult_rmse,role,candidate_model,policy_name,threshold,keypoint_selected_rate,policy_label,selection_rule
pre3_label3_response_coverage,session_level_split,test,oracle_broad_vehicle_pool,40,0.3751822675351606,0.95,0.05,1.0,0.3014818154275417,0.8898731234892571,0.1,0.28912499994039537,0.3897499984130263,0.21663554380647837,0.075,0.1,0.1,0.95,0.85,0.5819302035458729,B_response3s_strict_core,-0.1584844219037963,-0.175,0.25,-0.09697676079171769,oracle_upper_bound_not_deployable,,,,,,
pre3_label3_response_coverage,session_level_split,test,oracle_rbf_plus_topk3,40,0.4156559544709741,0.925,0.075,0.875,0.33291155435144903,1.0818654176225635,0.1,0.3461250051856041,0.4001249972730875,0.24683201932348312,0.075,0.075,0.2,0.95,0.75,0.6043781912148043,B_response3s_strict_core,-0.11801073496798281,-0.15000000000000002,0.125,-0.07452877312278627,oracle_upper_bound_not_deployable,,,,,,
pre3_label3_response_coverage,session_level_split,test,oracle_rbf_plus_keypoint,40,0.47509534002944326,0.8,0.2,0.875,0.4188615206629038,1.0461099659993864,0.175,0.44024999588727953,0.5214999942108989,0.19144727320526725,0.05,0.25,0.0,0.95,0.575,0.648367710695391,B_response3s_strict_core,-0.05857134940951364,-0.024999999999999994,0.125,-0.03053925364219956,oracle_upper_bound_not_deployable,,,,,,
pre3_label3_response_coverage,session_level_split,test,oracle_topk3_only,40,0.47753436926992054,0.975,0.025,0.875,0.40797814466059207,1.2413368358840775,0.175,0.3131250038743019,0.548374999454245,0.30961064852308484,0.2,0.1,0.25,0.95,0.6,0.6341906019412851,B_response3s_strict_core,-0.056132320169036354,-0.2,0.125,-0.0447163623963055,oracle_upper_bound_not_deployable,,,,,,
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.0,0.0,0.0,0.0,current_rbf_knn_reference,,,,,,
pre3_label3_response_coverage,session_level_split,test,selector_logreg_rbf_keypoint_no_subject,40,0.5339117968688195,0.8,0.2,0.875,0.38664667271077635,1.2348881203958673,0.1,0.4158750012516975,0.33937499672174454,0.1897894999419804,0.075,0.275,0.025,0.95,0.7,0.6483647590994606,B_response3s_strict_core,0.00024510742986261214,-0.024999999999999994,0.125,-0.030542205238130005,deployable_selector_attempt,,,,,,
pre3_label3_response_coverage,session_level_split,test,stage06d_val_rmse_noninferior_conservative,40,0.5345446759116794,0.775,0.225,0.75,0.4166799072176218,1.1981436102902063,0.125,0.4468749985098839,0.280874996818602,0.186096168658696,0.075,0.1,0.025,0.95,0.95,0.6789069643375906,B_response3s_strict_core,0.0008779864727225251,,,,deployable_selector_attempt,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.95,0.95,0.025,val_rmse_noninferior_conservative,"val RMSE <= RBF, then lowest keypoint selected rate"
pre3_label3_response_coverage,session_level_split,test,ridge_rich_context_no_subject,40,0.536450450516907,0.825,0.175,0.5,0.5529706440865993,1.1007266648812437,0.35,0.4195000097155571,0.38612499879673123,0.1883128815432428,0.075,0.025,0.025,0.95,1.0,0.7571023760780592,B_response3s_strict_core,0.0027837610779500865,-0.05000000000000002,-0.25,0.07819541174046862,single_or_branch_candidate,,,,,,
pre3_label3_response_coverage,session_level_split,test,topk_top1_rbf_fallback_logreg_no_subject,40,0.5420713665739044,0.775,0.225,0.75,0.42281157709658146,1.2736939393052176,0.125,0.426249997317791,0.27337499777786434,0.18760714528616512,0.075,0.1,0.025,0.95,0.95,0.6789069643375906,B_response3s_strict_core,0.008404677134947525,0.0,0.0,0.0,deployable_selector_attempt,,,,,,
pre3_label3_response_coverage,session_level_split,test,stage06d_val_best_rmse,40,0.5443558392873438,0.825,0.175,0.875,0.3922341253608465,1.2351160311227858,0.1,0.4016250059008598,0.4741249987855553,0.1819103826826903,0.075,0.425,0.025,0.95,0.375,0.659948768507552,B_response3s_strict_core,0.01068914984838687,,,,deployable_selector_attempt,rf_engineered_shallow,rf_engineered_shallow__thr_0.35,0.35,0.6,val_best_rmse,min val RMSE
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489935187678284,0.875,0.125,0.875,0.44583359025418756,1.2282829793985695,0.2,0.4764999940991402,0.8447499964386225,0.19533116957172753,0.075,0.6,0.025,0.95,0.0,0.7288664061847274,B_response3s_strict_core,0.015326829328871527,-0.1,0.125,0.049959441847136854,single_or_branch_candidate,,,,,,
pre3_label3_response_coverage,session_level_split,test,topk_rbf_branch_logreg_selector_no_subject,40,0.5766300583645526,0.85,0.15,0.625,0.465643472597003,1.341517697834452,0.175,0.4279999971389771,0.40575000217650087,0.3128196425619535,0.175,0.1,0.15,0.95,0.75,0.6405334347863101,B_response3s_strict_core,0.04296336892559571,-0.07500000000000001,-0.125,-0.03837352955128048,deployable_selector_attempt,,,,,,
