pool_name,split,oracle_winner_model,n_wins,mean_oracle_gain_vs_rbf,median_oracle_gain_vs_rbf,mean_oracle_sample_rmse
oracle_broad_vehicle_pool,test,knn_template_context_no_subject,6,0.09930530687173207,0.08630360662937162,0.26217486957708996
oracle_broad_vehicle_pool,test,rbf_kernel_ridge_context_no_subject,5,0.0,0.0,0.26775189936161037
oracle_broad_vehicle_pool,test,topk_vehicle_transformer_branch0_no_subject,5,0.13212029933929442,0.09789478778839111,0.28874469697475436
oracle_broad_vehicle_pool,test,topk_vehicle_transformer_branch2_no_subject,5,0.0995709300041199,0.10494452714920044,0.553288733959198
oracle_broad_vehicle_pool,test,direction_gated_knn_template_no_subject,4,0.23966425284743306,0.11671716719865798,0.30314913764595985
oracle_broad_vehicle_pool,test,topk_vehicle_transformer_branch1_no_subject,4,0.23895037546753886,0.18890433013439184,0.4039479754865169
oracle_broad_vehicle_pool,test,peak_scaled_template_context_no_subject,3,0.18014690031607947,0.158069983124733,0.32559149215618766
oracle_broad_vehicle_pool,test,ridge_rich_context_no_subject,3,0.10014774401982628,0.1153748631477356,0.27777463197708124
oracle_broad_vehicle_pool,test,ridge_rich_history_no_subject,3,0.3302910625934601,0.20207592844963074,0.34568371375401813
oracle_broad_vehicle_pool,test,keypoint_residual_vehicle_transformer_no_subject,2,0.17168470472097402,0.17168470472097402,0.20052752643823618
oracle_broad_vehicle_pool,train,direction_gated_knn_template_no_subject,125,0.27784610394966713,0.2333855071801167,2.1551343686709857e-07
oracle_broad_vehicle_pool,train,peak_scaled_template_context_no_subject,57,0.2869861303565722,0.28368261722596344,1.851111330964023e-07
oracle_broad_vehicle_pool,train,knn_template_context_no_subject,6,0.15512033417097545,0.1819996798404446,1.236620364627091e-07
oracle_broad_vehicle_pool,val,rbf_kernel_ridge_context_no_subject,9,0.0,0.0,0.4062207796507411
oracle_broad_vehicle_pool,val,peak_scaled_template_context_no_subject,8,0.20427077915519476,0.15411499515175825,0.37238955590873957
oracle_broad_vehicle_pool,val,topk_vehicle_transformer_branch1_no_subject,7,0.2341281282050269,0.2540743201971054,0.4092901200056076
oracle_broad_vehicle_pool,val,vehicle_transformer_context_no_subject,4,0.1845124401152134,0.16109979152679443,0.2706911675632
oracle_broad_vehicle_pool,val,keypoint_residual_vehicle_transformer_no_subject,3,0.15130958954493207,0.08554236590862282,0.24031035105387366
oracle_broad_vehicle_pool,val,knn_template_context_no_subject,3,0.07887499034404753,0.043937966227531405,0.394890899459521
oracle_broad_vehicle_pool,val,structured_vehicle_transformer_aux_no_subject,3,0.27357699722051626,0.298207551240921,0.33334382623434067
oracle_broad_vehicle_pool,val,topk_vehicle_transformer_branch2_no_subject,2,0.11460092663764955,0.11460092663764955,0.23178902268409723
oracle_broad_vehicle_pool,val,direction_gated_knn_template_no_subject,1,0.3998580276966095,0.3998580276966095,0.2117098271846771
oracle_broad_vehicle_pool,val,ridge_rich_history_no_subject,1,0.004021212458610507,0.004021212458610507,0.1801207214593887
oracle_broad_vehicle_pool,val,topk_vehicle_transformer_branch0_no_subject,1,0.09432992339134219,0.09432992339134219,0.1345705538988113
oracle_rbf_plus_keypoint,test,rbf_kernel_ridge_context_no_subject,23,0.0,0.0,0.42392577360505646
oracle_rbf_plus_keypoint,test,keypoint_residual_vehicle_transformer_no_subject,17,0.12276957929134366,0.0965092778205871,0.4238274281515795
oracle_rbf_plus_keypoint,train,rbf_kernel_ridge_context_no_subject,172,0.0,0.0,0.2735946464763824
oracle_rbf_plus_keypoint,train,keypoint_residual_vehicle_transformer_no_subject,16,0.04131973069161177,0.025297500193118994,0.2687711110338568
oracle_rbf_plus_keypoint,val,rbf_kernel_ridge_context_no_subject,25,0.0,0.0,0.41993494659662245
oracle_rbf_plus_keypoint,val,keypoint_residual_vehicle_transformer_no_subject,17,0.13535625180777383,0.09087479114532471,0.46640541448312645
