feature,input_status,reason
sample_id,excluded,identifier_or_split_not_model_input
event_uid,excluded,identifier_or_split_not_model_input
subject,excluded,identifier_or_split_not_model_input
session_stamp,excluded,identifier_or_split_not_model_input
split,excluded,identifier_or_split_not_model_input
anchor_time_rel_s,allowed,pre-event_context_or_candidate_prediction_only
curvature_anchor,allowed,pre-event_context_or_candidate_prediction_only
input_valid_ratio,allowed,pre-event_context_or_candidate_prediction_only
median_speed_kmh_window,allowed,pre-event_context_or_candidate_prediction_only
event_type,allowed,pre-event_context_or_candidate_prediction_only
event_level,allowed,pre-event_context_or_candidate_prediction_only
road_type_anchor,allowed,pre-event_context_or_candidate_prediction_only
old_v400_road_type_mode,allowed,pre-event_context_or_candidate_prediction_only
old_v400_phase_mode,allowed,pre-event_context_or_candidate_prediction_only
road_design_module_name,allowed,pre-event_context_or_candidate_prediction_only
road_design_instance_name,allowed,pre-event_context_or_candidate_prediction_only
road_design_risk_class,allowed,pre-event_context_or_candidate_prediction_only
road_design_mapping_reliability,allowed,pre-event_context_or_candidate_prediction_only
top1_branch,allowed,pre-event_context_or_candidate_prediction_only
best_branch_oracle,excluded,label_derived_forbidden_input
top1_matches_best,excluded,label_derived_forbidden_input
top1_prob,allowed,pre-event_context_or_candidate_prediction_only
prob_margin,allowed,pre-event_context_or_candidate_prediction_only
branch_spread_mean,allowed,pre-event_context_or_candidate_prediction_only
branch_spread_peak,allowed,pre-event_context_or_candidate_prediction_only
branch0_prob,allowed,pre-event_context_or_candidate_prediction_only
branch1_prob,allowed,pre-event_context_or_candidate_prediction_only
branch2_prob,allowed,pre-event_context_or_candidate_prediction_only
prob_entropy,allowed,pre-event_context_or_candidate_prediction_only
rbf_sample_rmse,excluded,label_derived_forbidden_input
rbf_wrong_side,excluded,label_derived_forbidden_input
rbf_large_response_recalled,excluded,label_derived_forbidden_input
rbf_severe_amp_under,excluded,label_derived_forbidden_input
rbf_peak_amp_abs_error,excluded,label_derived_forbidden_input
rbf_peak_time_abs_error_s,excluded,label_derived_forbidden_input
rbf_onset_delay_abs_error_s,excluded,label_derived_forbidden_input
rbf_tail_abs_error,excluded,label_derived_forbidden_input
rbf_tail_drift_risk,excluded,label_derived_forbidden_input
rbf_zero_crossing_mismatch,excluded,label_derived_forbidden_input
rbf_reversal_count_exact,excluded,label_derived_forbidden_input
rbf_pred_peak_abs,allowed,pre-event_context_or_candidate_prediction_only
rbf_pred_reversal_count,allowed,pre-event_context_or_candidate_prediction_only
rbf_pred_multi_segment,allowed,pre-event_context_or_candidate_prediction_only
rbf_gt_peak_abs,excluded,label_derived_forbidden_input
