window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489931559590873,0.875,0.125,0.875,0.4458379678428173,1.2282933248850298,0.2,0.4764999940991402,0.8447499964386225,0.19533092991332524,0.075,0.6,0.025,0.95,0.0,0.7288581959265881,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_best_of_rbf_keypoint_topk_upper_bound,40,0.41095652802584764,0.925,0.075,0.875,0.33393157348036767,1.0829349813495692,0.1,0.35075000673532486,0.4143749978393316,0.2547786533774342,0.1,0.125,0.175,0.95,0.675,0.6043694225919283,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_best_of_rbf_topk_upper_bound,40,0.4156523622942522,0.925,0.075,0.875,0.3329153090715408,1.081841775551983,0.1,0.3461250051856041,0.4001249972730875,0.24680775094311685,0.075,0.075,0.2,0.95,0.75,0.6043694225919283,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_best_of_3_oracle,40,0.47752610215924357,0.975,0.025,0.875,0.40798612087965014,1.2412631318372285,0.175,0.3131250038743019,0.548374999454245,0.3095831579528749,0.2,0.1,0.25,0.95,0.6,0.6341821660650484,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch0_no_subject,40,0.5550887298508053,0.95,0.05,0.75,0.5299312755465507,1.253029202357594,0.225,0.38824999928474424,0.5598750002915039,0.28071171226911246,0.175,0.125,0.25,0.95,0.55,0.6981974897505622,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch1_no_subject,40,0.589621073505032,0.975,0.025,0.75,0.4795168790966272,1.277697136397615,0.15,0.36850001066923144,0.5598750006873161,0.273181419481989,0.1,0.075,0.2,0.95,0.475,0.8401767015122311,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch2_no_subject,40,0.6852072845250242,0.85,0.15,0.625,0.5808783285319805,1.5930530940476135,0.2,0.48987500220537183,0.4250000002095476,0.45506535600870845,0.325,0.175,0.2,0.95,0.575,0.7227371667490082,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_top1_no_subject,40,0.5878650132191942,0.9,0.1,0.75,0.5538428585976363,1.2661693704292294,0.25,0.4583749994635582,0.5153750029858202,0.32471419260837137,0.2,0.15,0.275,0.95,0.6,0.71709414927741,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,keypoint_residual_vehicle_transformer_no_subject,188,0.5636981435585351,0.8617021276595744,0.13829787234042554,0.723404255319149,0.5106482595165677,1.3241325576083638,0.19680851063829788,0.5098404274817477,0.7170478696835801,0.17718453341838036,0.09574468085106383,0.48404255319148937,0.0425531914893617,0.925531914893617,0.0,0.9067564105933167,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_best_of_rbf_keypoint_topk_upper_bound,188,0.28315456955644736,0.9308510638297872,0.06914893617021277,0.9574468085106383,0.26517569178596456,0.9375083429057358,0.026595744680851064,0.3229787180873942,0.23449468006320456,0.1909498472773424,0.09574468085106383,0.10638297872340426,0.15425531914893617,0.925531914893617,0.7872340425531915,0.45702043058525715,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,oracle_best_of_rbf_topk_upper_bound,188,0.28388733234412056,0.9308510638297872,0.06914893617021277,0.9574468085106383,0.26440986241907516,0.9468230672576475,0.015957446808510637,0.3338563787017731,0.2200797867584736,0.19279339838674864,0.10106382978723404,0.09574468085106383,0.15425531914893617,0.925531914893617,0.8138297872340425,0.45702043058525715,B_response3s_strict_core
