oracle_family,split,n_samples,mean_oracle_rmse,mean_gain_over_rbf,median_gain_over_rbf,positive_gain_rate,non_rbf_oracle_rate,oracle_best_model,sample_rate
rbf_topk,test,40,0.37406522035598755,0.10199582576751709,0.037903860211372375,0.625,0.625,,
rbf_topk,test,15,0.3360695242881775,0.0,,,,rbf_kernel_ridge_context_no_subject,0.375
rbf_topk,test,10,0.34019485116004944,0.11237194389104843,,,,topk_vehicle_transformer_branch0_no_subject,0.25
rbf_topk,test,8,0.41079050302505493,0.292378306388855,,,,topk_vehicle_transformer_branch1_no_subject,0.2
rbf_topk,test,7,0.46189913153648376,0.08815526217222214,,,,topk_vehicle_transformer_branch2_no_subject,0.175
rbf_topk,train,188,0.23793168365955353,0.038769032806158066,0.0,0.3776595744680851,0.3776595744680851,,
rbf_topk,train,117,0.22234636545181274,0.0,,,,rbf_kernel_ridge_context_no_subject,0.6223404255319149
rbf_topk,train,18,0.19021998345851898,0.05933711305260658,,,,topk_vehicle_transformer_branch0_no_subject,0.09574468085106383
rbf_topk,train,25,0.2964215874671936,0.12834492325782776,,,,topk_vehicle_transformer_branch1_no_subject,0.13297872340425532
rbf_topk,train,28,0.28150475025177,0.10756738483905792,,,,topk_vehicle_transformer_branch2_no_subject,0.14893617021276595
rbf_topk,val,42,0.3898416757583618,0.10368980467319489,0.05477991700172424,0.5952380952380952,0.5952380952380952,,
rbf_topk,val,17,0.39210501313209534,0.0,,,,rbf_kernel_ridge_context_no_subject,0.40476190476190477
rbf_topk,val,11,0.3160233497619629,0.10216345638036728,,,,topk_vehicle_transformer_branch0_no_subject,0.2619047619047619
rbf_topk,val,8,0.4591112732887268,0.25566503405570984,,,,topk_vehicle_transformer_branch1_no_subject,0.19047619047619047
rbf_topk,val,6,0.4264029562473297,0.1976422518491745,,,,topk_vehicle_transformer_branch2_no_subject,0.14285714285714285
broad_rbf_keypoint_topk,test,40,0.3674853444099426,0.10857570171356201,0.06488929688930511,0.7,0.7,,
broad_rbf_keypoint_topk,test,5,0.2636865973472595,0.10102275758981705,,,,keypoint_residual_vehicle_transformer_no_subject,0.125
broad_rbf_keypoint_topk,test,12,0.31304216384887695,0.0,,,,rbf_kernel_ridge_context_no_subject,0.3
broad_rbf_keypoint_topk,test,8,0.38810718059539795,0.1102251335978508,,,,topk_vehicle_transformer_branch0_no_subject,0.2
broad_rbf_keypoint_topk,test,8,0.41079050302505493,0.292378306388855,,,,topk_vehicle_transformer_branch1_no_subject,0.2
broad_rbf_keypoint_topk,test,7,0.46189913153648376,0.08815526217222214,,,,topk_vehicle_transformer_branch2_no_subject,0.175
broad_rbf_keypoint_topk,train,188,0.23698623478412628,0.03971447795629501,0.0,0.39361702127659576,0.39361702127659576,,
broad_rbf_keypoint_topk,train,6,0.19723249971866608,0.0467066764831543,,,,keypoint_residual_vehicle_transformer_no_subject,0.031914893617021274
broad_rbf_keypoint_topk,train,114,0.22279614210128784,0.0,,,,rbf_kernel_ridge_context_no_subject,0.6063829787234043
broad_rbf_keypoint_topk,train,18,0.19021998345851898,0.05933711305260658,,,,topk_vehicle_transformer_branch0_no_subject,0.09574468085106383
broad_rbf_keypoint_topk,train,24,0.2989055812358856,0.1325313001871109,,,,topk_vehicle_transformer_branch1_no_subject,0.1276595744680851
broad_rbf_keypoint_topk,train,26,0.2835986018180847,0.11297163367271423,,,,topk_vehicle_transformer_branch2_no_subject,0.13829787234042554
broad_rbf_keypoint_topk,val,42,0.37664908170700073,0.11688239127397537,0.08993320167064667,0.6428571428571429,0.6428571428571429,,
broad_rbf_keypoint_topk,val,6,0.31431999802589417,0.17752332985401154,,,,keypoint_residual_vehicle_transformer_no_subject,0.14285714285714285
broad_rbf_keypoint_topk,val,15,0.3948196768760681,0.0,,,,rbf_kernel_ridge_context_no_subject,0.35714285714285715
broad_rbf_keypoint_topk,val,7,0.25424832105636597,0.08753521740436554,,,,topk_vehicle_transformer_branch0_no_subject,0.16666666666666666
broad_rbf_keypoint_topk,val,8,0.4591112732887268,0.25566503405570984,,,,topk_vehicle_transformer_branch1_no_subject,0.19047619047619047
broad_rbf_keypoint_topk,val,6,0.4264029562473297,0.1976422518491745,,,,topk_vehicle_transformer_branch2_no_subject,0.14285714285714285
