split,pair_name,n_samples,mean_distance,median_distance,q75_distance,q90_distance
test,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,40,0.2731193505227566,0.2563071697950363,0.35710643976926804,0.4475011080503465
test,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,40,0.3676321774721146,0.34379541873931885,0.445573166012764,0.5766033709049225
test,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,40,0.4165558394044638,0.3324633538722992,0.5059742406010628,0.6890299916267395
test,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_top1_no_subject,40,0.31097388714551927,0.2765539139509201,0.3695492073893547,0.5571840763092042
test,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,40,0.2879726715385914,0.24574989825487137,0.32454684376716614,0.4581965386867524
test,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,40,0.3067346399649978,0.3024589717388153,0.43061917275190353,0.4760660141706467
test,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,40,0.41535501508042216,0.4061462879180908,0.4741736277937889,0.6116897344589234
test,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,40,0.4096556413918734,0.3439158797264099,0.5641720145940781,0.7097234547138215
test,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_top1_no_subject,40,0.3530418765731156,0.3278796523809433,0.4585495814681053,0.5666619896888734
test,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,40,0.29206146821379664,0.3118474781513214,0.3340897783637047,0.35605035424232484
test,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,40,0.30876876041293144,0.3195905387401581,0.34479547291994095,0.38299315571784975
test,topk_vehicle_transformer_branch1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,40,0.5799017462879419,0.6106854677200317,0.6525227278470993,0.7187613666057587
test,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,40,0.08538795709609985,0.0,0.18622571974992752,0.3254358649253845
test,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,40,0.35206291899085046,0.322677344083786,0.3614794462919235,0.6194874882698059
test,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,40,0.24331863820552826,0.2984967976808548,0.33965928107500076,0.39109692275524144
train,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,188,0.2944381428545618,0.2594155967235565,0.36284978687763214,0.533999049663544
train,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,188,0.4241215010034911,0.386345237493515,0.5187715440988541,0.7179637849330903
train,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,188,0.3502308312763876,0.29319190979003906,0.3961666151881218,0.5923437237739565
train,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_top1_no_subject,188,0.32072993975251596,0.27234017848968506,0.4228273928165436,0.5523949682712556
train,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,188,0.30118160195490146,0.2617253363132477,0.3579430505633354,0.517160600423813
train,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,188,0.24302950507386567,0.22460293769836426,0.29397568106651306,0.3774288266897202
train,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,188,0.3829998401726814,0.3726470023393631,0.4667764976620674,0.6328853487968445
train,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,188,0.3219862637367654,0.29740794003009796,0.3862772807478905,0.5180151581764221
train,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_top1_no_subject,188,0.27508761291887535,0.24545109272003174,0.3459109663963318,0.4505911022424699
train,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,188,0.2935667323701559,0.3036161959171295,0.34417589008808136,0.3759379804134369
train,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,188,0.2978403820715686,0.30134351551532745,0.34395892173051834,0.3778451532125473
train,topk_vehicle_transformer_branch1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,188,0.5718154375381926,0.5837856531143188,0.6623256951570511,0.726819258928299
