feature,feature_type
anchor_time_rel_s,numeric
curvature_anchor,numeric
event_type,categorical
event_level,categorical
road_type_anchor,categorical
road_design_module_name,categorical
road_design_instance_name,categorical
road_design_risk_class,categorical
road_design_mapping_reliability,categorical
top1_branch,numeric
top1_prob,numeric
prob_margin,numeric
prob_entropy,numeric
topk_branch_spread_mean,numeric
topk_branch_spread_peak,numeric
branch_peak_abs_spread,numeric
rbf_kernel_ridge_context_no_subject__pred_peak_abs,numeric
rbf_kernel_ridge_context_no_subject__pred_peak_sign,numeric
rbf_kernel_ridge_context_no_subject__pred_reversal_count,numeric
keypoint_residual_vehicle_transformer_no_subject__pred_peak_abs,numeric
keypoint_residual_vehicle_transformer_no_subject__pred_peak_sign,numeric
keypoint_residual_vehicle_transformer_no_subject__pred_reversal_count,numeric
topk_vehicle_transformer_top1_no_subject__pred_peak_abs,numeric
topk_vehicle_transformer_top1_no_subject__pred_peak_sign,numeric
topk_vehicle_transformer_top1_no_subject__pred_reversal_count,numeric
topk_vehicle_transformer_branch0_no_subject__pred_peak_abs,numeric
topk_vehicle_transformer_branch0_no_subject__pred_peak_sign,numeric
topk_vehicle_transformer_branch0_no_subject__pred_reversal_count,numeric
topk_vehicle_transformer_branch1_no_subject__pred_peak_abs,numeric
topk_vehicle_transformer_branch1_no_subject__pred_peak_sign,numeric
topk_vehicle_transformer_branch1_no_subject__pred_reversal_count,numeric
topk_vehicle_transformer_branch2_no_subject__pred_peak_abs,numeric
topk_vehicle_transformer_branch2_no_subject__pred_peak_sign,numeric
topk_vehicle_transformer_branch2_no_subject__pred_reversal_count,numeric
