split,oracle_best_model,rbf_kernel_ridge_context_no_subject
test,keypoint_residual_vehicle_transformer_no_subject,5
test,rbf_kernel_ridge_context_no_subject,12
test,topk_vehicle_transformer_branch0_no_subject,8
test,topk_vehicle_transformer_branch1_no_subject,8
test,topk_vehicle_transformer_branch2_no_subject,7
train,keypoint_residual_vehicle_transformer_no_subject,6
train,rbf_kernel_ridge_context_no_subject,114
train,topk_vehicle_transformer_branch0_no_subject,18
train,topk_vehicle_transformer_branch1_no_subject,24
train,topk_vehicle_transformer_branch2_no_subject,26
val,keypoint_residual_vehicle_transformer_no_subject,6
val,rbf_kernel_ridge_context_no_subject,15
val,topk_vehicle_transformer_branch0_no_subject,7
val,topk_vehicle_transformer_branch1_no_subject,8
val,topk_vehicle_transformer_branch2_no_subject,6
