bucket_type,bucket_value,n_samples,rbf_rmse,deployable_oracle_rmse,mean_gain_over_rbf,non_rbf_oracle_rate,coverage_status,priority_score,recommended_action
road_design_risk_class,design_curve_context,9,0.6768567998559795,0.3874912105904585,0.252579,0.7777777777777778,selector_gap_candidate_pool_has_signal,0.5344240609142515,use response-factorized candidate generation and non-oracle calibration
response_family,small|return_near_zero|multi_segment,7,0.5192845663118597,0.3611756566451963,0.15255868,0.8571428571428571,selector_gap_candidate_pool_has_signal,0.4002665979521615,add reversal/multi-segment candidate constructor
direction_mode,positive,17,0.6052980224826395,0.4312499401086509,0.14463839,0.8235294117647058,selector_gap_candidate_pool_has_signal,0.3816634663764168,add direction-conditioned candidates with wrong-side guard
road_design_risk_class,design_high_risk_surface,5,0.4494562956015951,0.32392692068154294,0.12018861,1.0,selector_gap_candidate_pool_has_signal,0.3802829131484032,use response-factorized candidate generation and non-oracle calibration
amplitude_mode,small,13,0.4227454492230944,0.29164255864059646,0.12095238,0.7692307692307693,selector_gap_candidate_pool_has_signal,0.3352747278717848,add amplitude-quantile candidates and explicit severe-underprediction penalty
road_design_risk_class,design_special_event_segment,6,0.42781223249110595,0.36179273621897273,0.074407496,1.0,selector_gap_candidate_pool_has_signal,0.3116112433373928,use response-factorized candidate generation and non-oracle calibration
tail_mode,same_side_tail,5,0.28736062926431705,0.1842729337059276,0.10089402,0.8,selector_gap_candidate_pool_has_signal,0.31134102851152423,"add tail-mode candidates: return, same-side persistence, opposite-side overshoot"
correction_mode,multi_segment,38,0.5454128563402841,0.4194429160331824,0.112605244,0.7105263157894737,selector_gap_candidate_pool_has_signal,0.3110131290398146,add reversal/multi-segment candidate constructor
tail_mode,return_near_zero,34,0.5676660803307922,0.4393452954239325,0.11289877,0.7058823529411765,selector_gap_candidate_pool_has_signal,0.3105246210799498,"add tail-mode candidates: return, same-side persistence, opposite-side overshoot"
peak_timing,early_peak,22,0.4966941513141971,0.35070918057656547,0.11382739,0.6818181818181818,selector_gap_candidate_pool_has_signal,0.3071047250520099,add peak-time/onset conditional candidates
amplitude_mode,medium,19,0.533400363058562,0.37631086491599464,0.11810726,0.631578947368421,selector_gap_candidate_pool_has_signal,0.3034766783839778,add amplitude-quantile candidates and explicit severe-underprediction penalty
response_family,medium|return_near_zero|multi_segment,19,0.533400363058562,0.37631086491599464,0.11810726,0.631578947368421,selector_gap_candidate_pool_has_signal,0.3034766783839778,add reversal/multi-segment candidate constructor
event_level,strong_active,21,0.5167892027443025,0.3650861148032816,0.11661987,0.6190476190476191,selector_gap_candidate_pool_has_signal,0.29873932890948796,use response-factorized candidate generation and non-oracle calibration
peak_timing,late_peak,18,0.57563944087902,0.47431109978038277,0.10215698,0.7222222222222222,selector_gap_candidate_pool_has_signal,0.2976799171831873,add peak-time/onset conditional candidates
event_level,extreme_active,10,0.6510279552795869,0.5531449548502316,0.09740652,0.7,selector_gap_candidate_pool_has_signal,0.2861097821593285,use response-factorized candidate generation and non-oracle calibration
direction_mode,negative,23,0.47381195649244484,0.3952880133192763,0.08192068,0.6086956521739131,selector_gap_candidate_pool_has_signal,0.2446201555106951,add direction-conditioned candidates with wrong-side guard
road_design_risk_class,design_regular_road,20,0.5079662760222414,0.4524410843459694,0.051121466,0.5,mixed_gap,0.176682198792696,use response-factorized candidate generation and non-oracle calibration
