split,response_family,oracle_best_model,n_samples,sample_rate
test,large|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,2,0.5
test,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,1,0.25
test,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,1,0.25
test,medium|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,1,0.05263157894736842
test,medium|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,7,0.3684210526315789
test,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,5,0.2631578947368421
test,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,5,0.2631578947368421
test,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,1,0.05263157894736842
test,small|opposite_tail|multi_segment,rbf_kernel_ridge_context_no_subject,1,1.0
test,small|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,2,0.2857142857142857
test,small|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,1,0.14285714285714285
test,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,2,0.2857142857142857
test,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,2,0.2857142857142857
test,small|same_side_tail|multi_segment,keypoint_residual_vehicle_transformer_no_subject,1,0.3333333333333333
test,small|same_side_tail|multi_segment,topk_vehicle_transformer_branch0_no_subject,1,0.3333333333333333
test,small|same_side_tail|multi_segment,topk_vehicle_transformer_branch2_no_subject,1,0.3333333333333333
test,small|same_side_tail|single_sweep,keypoint_residual_vehicle_transformer_no_subject,1,1.0
test,small|same_side_tail|zero_crossing,rbf_kernel_ridge_context_no_subject,1,1.0
test,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,2,0.5
test,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,2,0.5
train,large|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,11,0.4074074074074074
train,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,5,0.18518518518518517
train,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,4,0.14814814814814814
train,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,7,0.25925925925925924
train,large|return_near_zero|single_reversal,rbf_kernel_ridge_context_no_subject,1,1.0
train,medium|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,2,0.03125
train,medium|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,45,0.703125
train,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,3,0.046875
train,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,6,0.09375
train,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,8,0.125
train,medium|return_near_zero|single_reversal,rbf_kernel_ridge_context_no_subject,1,1.0
train,medium|return_near_zero|zero_crossing,rbf_kernel_ridge_context_no_subject,1,1.0
train,small|opposite_tail|multi_segment,rbf_kernel_ridge_context_no_subject,4,0.8
train,small|opposite_tail|multi_segment,topk_vehicle_transformer_branch1_no_subject,1,0.2
train,small|opposite_tail|zero_crossing,topk_vehicle_transformer_branch1_no_subject,1,1.0
train,small|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,4,0.08333333333333333
train,small|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,25,0.5208333333333334
train,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,6,0.125
train,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,6,0.125
train,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,7,0.14583333333333334
train,small|return_near_zero|single_reversal,rbf_kernel_ridge_context_no_subject,1,0.5
train,small|return_near_zero|single_reversal,topk_vehicle_transformer_branch1_no_subject,1,0.5
train,small|return_near_zero|zero_crossing,rbf_kernel_ridge_context_no_subject,1,0.25
train,small|return_near_zero|zero_crossing,topk_vehicle_transformer_branch0_no_subject,1,0.25
train,small|return_near_zero|zero_crossing,topk_vehicle_transformer_branch2_no_subject,2,0.5
train,small|same_side_tail|multi_segment,rbf_kernel_ridge_context_no_subject,8,0.7272727272727273
train,small|same_side_tail|multi_segment,topk_vehicle_transformer_branch0_no_subject,3,0.2727272727272727
train,small|same_side_tail|single_reversal,rbf_kernel_ridge_context_no_subject,1,1.0
train,small|same_side_tail|single_sweep,rbf_kernel_ridge_context_no_subject,2,1.0
train,small|same_side_tail|zero_crossing,rbf_kernel_ridge_context_no_subject,1,1.0
train,very_large|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,12,0.631578947368421
train,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,5,0.2631578947368421
train,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,2,0.10526315789473684
val,large|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,3,0.75
val,large|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,1,0.25
val,medium|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,2,0.13333333333333333
val,medium|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,6,0.4
val,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,3,0.2
val,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,3,0.2
val,medium|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,1,0.06666666666666667
val,small|opposite_tail|multi_segment,keypoint_residual_vehicle_transformer_no_subject,1,1.0
val,small|opposite_tail|zero_crossing,rbf_kernel_ridge_context_no_subject,1,1.0
val,small|return_near_zero|multi_segment,keypoint_residual_vehicle_transformer_no_subject,1,0.1
val,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch0_no_subject,4,0.4
val,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,2,0.2
val,small|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,3,0.3
val,small|return_near_zero|zero_crossing,keypoint_residual_vehicle_transformer_no_subject,1,1.0
val,small|same_side_tail|multi_segment,keypoint_residual_vehicle_transformer_no_subject,1,0.3333333333333333
val,small|same_side_tail|multi_segment,rbf_kernel_ridge_context_no_subject,2,0.6666666666666666
val,small|same_side_tail|single_reversal,rbf_kernel_ridge_context_no_subject,1,1.0
val,very_large|return_near_zero|multi_segment,rbf_kernel_ridge_context_no_subject,2,0.3333333333333333
val,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch1_no_subject,2,0.3333333333333333
val,very_large|return_near_zero|multi_segment,topk_vehicle_transformer_branch2_no_subject,2,0.3333333333333333
