sample_id,split,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_onset_time_s,gt_tail_signed,gt_tail_abs_ratio,direction_mode,amplitude_mode,peak_timing,tail_mode,reversal_count,zero_crossing,correction_mode,response_family,threshold_small_peak_train_p40,threshold_large_peak_train_p75,threshold_very_large_peak_train_p90,threshold_peak_time_train_median,rbf_sample_rmse,deployable_oracle_rmse,deployable_oracle_gain_over_rbf,deployable_oracle_best_model,deployable_oracle_uses_non_rbf,candidate_spread_mean,candidate_spread_peak,rbf_kernel_ridge_context_no_subject__sample_rmse,keypoint_residual_vehicle_transformer_no_subject__sample_rmse,topk_vehicle_transformer_branch0_no_subject__sample_rmse,topk_vehicle_transformer_branch1_no_subject__sample_rmse,topk_vehicle_transformer_branch2_no_subject__sample_rmse,event_uid,subject,session_stamp,event_type,event_level,road_type_anchor,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,train,1.944647192955017,1.944647192955017,1.190000057220459,0.07999999821186066,-0.19931477308273315,0.1024940533196983,positive,large,early_peak,return_near_zero,5,1,multi_segment,large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.29632849,0.29632849,0.0,rbf_kernel_ridge_context_no_subject,0,0.34507614,0.5649183,0.29632849,0.5867527,0.622538,0.87653434,0.455137,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,train,0.9477140307426453,-0.9477140307426453,2.0950000286102295,0.7649999856948853,0.0452042818069458,0.047698229994044654,negative,small,late_peak,return_near_zero,3,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.28368288,0.26594064,0.017742246,topk_vehicle_transformer_branch0_no_subject,1,0.19587679,0.32103783,0.28368288,0.29778883,0.26594064,0.32928345,0.49134415,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,instability_ay_roll,strong_active,straight,middle_section,section3,design_regular_road,low
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,train,1.3292438983917236,-1.3292438983917236,2.5899999141693115,0.925000011920929,0.20961184799671173,0.15769254103804797,negative,medium,late_peak,return_near_zero,2,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.2333857,0.2333857,0.0,rbf_kernel_ridge_context_no_subject,0,0.2335527,0.4006652,0.2333857,0.5442323,0.55853707,0.8623416,0.32824403,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,instability_ay_roll,extreme_active,straight,curve2,curve2,design_curve_context,very_low
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,train,2.1975419521331787,-2.1975419521331787,1.5449999570846558,0.28999999165534973,0.03996798396110535,0.018187586326762942,negative,very_large,early_peak,return_near_zero,3,1,multi_segment,very_large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.62310743,0.62310743,0.0,rbf_kernel_ridge_context_no_subject,0,0.20914687,0.35330993,0.62310743,0.7945291,0.7405652,0.6418534,0.9249688,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,train,1.7027480602264404,-1.7027480602264404,2.0,0.22499999403953552,0.17680126428604126,0.10383289719474371,negative,large,late_peak,return_near_zero,4,1,multi_segment,large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.2145425,0.2145425,0.0,rbf_kernel_ridge_context_no_subject,0,0.32310835,0.52754885,0.2145425,0.7578978,0.36452374,0.41847602,0.5733461,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,instability_ay_roll,strong_active,curve,curve1,curve1,design_curve_context,high
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,train,0.9564404487609863,-0.9564404487609863,1.6699999570846558,0.9100000262260437,0.16702841222286224,0.17463545423997695,negative,small,late_peak,return_near_zero,2,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.14629039,0.14629039,0.0,rbf_kernel_ridge_context_no_subject,0,0.21150145,0.34667858,0.14629039,0.20759602,0.26341313,0.49198952,0.21463282,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,train,0.10297000408172607,0.10297000408172607,0.6549999713897705,0.06499999761581421,0.0247800350189209,0.2406529478162716,positive,small,early_peak,return_near_zero,1,0,single_reversal,small|return_near_zero|single_reversal,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.01187081,0.01187081,0.0,rbf_kernel_ridge_context_no_subject,0,0.12030471,0.20185265,0.01187081,0.10695855,0.09383578,0.17355736,0.20564051,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,instability_ay_roll,instability_extreme,design_regular_road,middle_section,section2,design_regular_road,medium
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,train,1.3950433731079102,-1.3950433731079102,2.055000066757202,0.20999999344348907,-0.30944740772247314,0.2218192019600645,negative,medium,late_peak,return_near_zero,3,0,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.24024905,0.20405716,0.036191896,topk_vehicle_transformer_branch2_no_subject,1,0.39798307,0.5137833,0.24024905,1.0133362,0.48495394,0.86688155,0.20405716,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,instability_ay_roll,strong_active,curve,curve1,curve1,design_curve_context,high
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,train,0.036299943923950195,-0.036299943923950195,2.615000009536743,2.5199999809265137,-0.030719995498657227,0.8462821750638739,negative,small,late_peak,same_side_tail,2,1,multi_segment,small|same_side_tail|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.0062738513,0.0062738513,0.0,rbf_kernel_ridge_context_no_subject,0,0.1290138,0.2417986,0.0062738513,0.19114189,0.13854244,0.049956806,0.37322766,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,instability_ay_roll,instability_extreme,design_special_event_segment,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,train,1.3728759288787842,1.3728759288787842,1.065000057220459,0.25999999046325684,-0.21519902348518372,0.15675052563630779,positive,medium,early_peak,return_near_zero,3,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.21663062,0.21663062,0.0,rbf_kernel_ridge_context_no_subject,0,0.21974784,0.40910968,0.21663062,0.5866838,0.6163928,0.8324605,0.45178568,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low
