window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,always_proto_amplitude,40,0.759221230633585,0.725,0.275,0.0,0.9986907109618187,0.18463320659728896,0.975,0.4328749880194664,2.087750004604459,0.18277475486975164,0.05,0.35,0.025,0.95,0.6,1.2149243305387813,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,always_proto_combo_full,40,0.5930580827463428,0.925,0.075,0.75,0.468330293148756,1.0968410016887358,0.2,0.3119999960064888,0.5807499997317791,0.18328497294569387,0.05,0.05,0.05,0.95,1.0,0.7069502330784057,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,always_proto_correction,40,0.7773362000594561,0.6,0.4,0.0,1.0393917761743068,0.1919212709548441,0.9,0.9447500079870224,2.325375001691282,0.18983159200579394,0.075,0.05,0.0,0.95,0.975,1.2275081970481017,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,always_proto_direction_amp,40,0.5683414966637611,0.925,0.075,0.75,0.5293337941169739,0.9387791704148715,0.275,0.3106250002980232,0.6326250027865171,0.18141848808154465,0.05,0.05,0.15,0.95,1.0,0.7470965661257818,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,always_proto_peak_tail,40,0.764302556835923,0.575,0.425,0.0,1.029629197344184,0.1816268003853439,0.95,0.962875010073185,2.2295000023208558,0.18831150112091563,0.075,0.05,0.0,0.95,1.0,1.1987519953498214,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,always_proto_tail_correction,40,0.7765015233037151,0.6,0.4,0.0,1.0368957936763763,0.18147574068295208,0.95,0.941375008225441,2.442000000551343,0.1853811874985695,0.075,0.05,0.025,0.95,0.95,1.2265558452111598,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.10,40,0.7801731088443064,0.6,0.4,0.0,0.8894176736474038,0.5176795724501457,0.75,0.4874999925494194,1.4948750047013164,0.18290305411210284,0.05,0.325,0.0,0.95,0.8,1.2149243305387813,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.18,40,0.6660868098128472,0.775,0.225,0.25,0.6495460320264101,0.8780122633623589,0.425,0.4482499971985817,0.7817499987781048,0.18646423161262646,0.05,0.2,0.0,0.95,0.975,1.0591917314990809,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.25,40,0.5394277293227382,0.775,0.225,0.75,0.45433397926390173,1.0738225230651488,0.175,0.42349999994039533,0.3928749980404973,0.18151801894418895,0.05,0.125,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.10,40,0.5565178658595149,0.775,0.225,0.75,0.4553465384989977,1.1223496292625854,0.175,0.3803749933838844,0.46899999901652334,0.18156978022307158,0.05,0.1,0.025,0.95,0.975,0.7069502330784057,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.18,40,0.5466334764999766,0.775,0.225,0.75,0.4030098829418421,1.1379438357938891,0.125,0.42337499707937243,0.4107499986886978,0.18443200386827813,0.05,0.075,0.025,0.95,0.975,0.691490123926016,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.25,40,0.5351013887127674,0.775,0.225,0.75,0.4068132895976305,1.1120247509868684,0.125,0.43874999731779096,0.2908749984577298,0.18129151659086346,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.10,40,0.7952247756772549,0.525,0.475,0.0,0.9400375176221132,0.48627749990916713,0.725,0.9345000043511391,1.7703750001266598,0.18739171939669177,0.05,0.1,0.0,0.95,0.975,1.2275081970481017,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.18,40,0.6744322531897953,0.775,0.225,0.25,0.6838399711996317,0.8534788360614783,0.425,0.6744999960064888,1.0442499987781049,0.18985906146699563,0.05,0.075,0.0,0.95,0.975,1.0590927326145096,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.25,40,0.541548723404143,0.775,0.225,0.75,0.4567622680217028,1.0718704040778877,0.175,0.45999999791383744,0.3928749980404973,0.1822967965970747,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
