sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.29632851481437683,1.944647192955017,1.3351538181304932,0.6094933748245239,0.6865789449970309,1,0,0.11499989032745361,0.015000000596046448,0.09497059881687164,0,0,5,129,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.2836828827857971,0.9477140307426453,0.9230186343193054,0.024695396423339844,0.9739421432813566,1,0,0.4750000238418579,0.6499999836087227,0.12793764472007751,0,0,3,75,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.23338569700717926,1.3292438983917236,0.8939477801322937,0.43529611825942993,0.6725235159731765,1,0,0.04499983787536621,0.12000000476837158,0.005930483341217041,0,0,2,155,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.6231074333190918,2.1975419521331787,1.303301453590393,0.8942404985427856,0.5930723881404237,1,0,0.08500003814697266,0.6099999845027924,0.045429714024066925,0,0,3,157,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.21454249322414398,1.7027480602264404,1.4471921920776367,0.2555558681488037,0.8499156310212924,1,0,0.08500003814697266,0.06000000238418579,0.09274064004421234,0,0,4,90,0,1,1,1,1,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.1462903767824173,0.9564404487609863,1.244619607925415,0.2881791591644287,1.3013038182750931,1,0,0.0,0.02499997615814209,0.12178708985447884,0,0,2,84,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.011870809830725193,0.10297000408172607,0.09020990133285522,0.01276010274887085,0.8760794188301352,1,0,0.22499996423721313,0.0,0.004515562206506729,0,0,1,1,1,0,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.24024905264377594,1.3950433731079102,1.2630199193954468,0.13202345371246338,0.9053624738431333,1,0,1.1750000715255737,0.04499998688697815,0.18265731632709503,0,0,3,167,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.00627385126426816,0.036299943923950195,0.040339283645153046,0.00403933972120285,1.1112767482414139,1,0,0.009999990463256836,0.375,0.0026199575513601303,0,0,2,2,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.21663060784339905,1.3728759288787842,1.0895557403564453,0.28332018852233887,0.7936301580043551,1,0,0.10499989986419678,0.06499999761581421,0.12768647074699402,0,0,3,165,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.4204939603805542,0.761661171913147,0.5191238522529602,0.24253731966018677,0.681567961445403,1,0,0.48500001430511475,0.015000000596046448,0.006076398771256208,0,0,3,150,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.002520722569897771,0.040490150451660156,0.03653663024306297,0.003953520208597183,0.9023584707763148,1,0,0.004999995231628418,0.014999985694885254,0.001139529049396515,0,0,1,1,1,0,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.4221305847167969,0.9894275069236755,0.6608069539070129,0.3286205530166626,0.6678679835388764,1,0,0.3449999690055847,0.004999995231628418,0.1798717901110649,0,0,4,180,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.11679359525442123,0.241902694106102,0.4100455641746521,0.1681428700685501,1.6950847351654557,1,0,0.12000000476837158,0.01499999687075615,0.06120390444993973,0,0,2,46,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.3007480204105377,1.5481109619140625,1.3098680973052979,0.23824286460876465,0.8461073718422583,1,0,0.11500000953674316,0.11999998986721039,0.3109125718474388,0,0,6,100,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.29294171929359436,0.6775369644165039,1.0733349323272705,0.3957979679107666,1.584171770246703,1,0,0.06500005722045898,0.0949999988079071,0.003291413187980652,0,0,6,105,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.031060682609677315,0.06876599788665771,0.060567792505025864,0.008198205381631851,0.8807811180876864,1,0,0.5049999952316284,0.0,0.06550324894487858,1,0,2,11,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.021404385566711426,0.110131174325943,0.13224826753139496,0.022117093205451965,1.2008250011027255,1,0,0.2550000250339508,0.0,0.010461680591106415,0,0,2,2,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.23624706268310547,0.6611310243606567,1.0513732433319092,0.39024221897125244,1.590264568734517,1,0,0.0,0.2749999761581421,0.08567832410335541,0,0,1,133,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.1510205864906311,0.6585130095481873,0.6615481972694397,0.0030351877212524414,1.004609153771062,1,0,0.27500009536743164,0.020000003278255463,0.017728954553604126,0,0,2,112,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.3531014025211334,1.488070011138916,1.526875615119934,0.038805603981018066,1.0260778079596655,1,0,0.08500003814697266,0.04499998688697815,0.12375045567750931,0,0,4,66,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.36214759945869446,1.5233267545700073,0.9231436848640442,0.6001830697059631,0.6060050360794864,1,0,0.125,0.04999999701976776,0.11941221915185452,0,0,4,160,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,0.34374701976776123,1.6385160684585571,1.327913522720337,0.3106025457382202,0.8104366800440223,1,0,0.009999990463256836,0.034999966621398926,0.2081710398197174,0,0,4,110,0,1,1,1,1,0,0,B_response3s_strict_core
