oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,proto_combo_full__sample_rmse,proto_direction_amp__sample_rmse,proto_peak_tail__sample_rmse,proto_tail_correction__sample_rmse,proto_correction__sample_rmse,proto_amplitude__sample_rmse,sample_id,split
0,rbf_kernel_ridge_context_no_subject,0.29632849,0.29632849,0.7486005,0.45340207,1.1443855,1.1185082,1.1123075,1.1469034,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.28368288,0.28368288,0.3090829,0.2847303,0.43344194,0.45837733,0.46281525,0.42851886,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2333857,0.2333857,0.27628043,0.3462978,0.6875312,0.7140538,0.719436,0.67778796,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.62310743,0.62310743,0.6526158,0.6526158,1.0392824,1.0453604,1.0488602,1.0423055,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2145425,0.2145425,0.52716815,0.43327057,0.9160157,0.94313407,0.95053333,0.87066454,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,train
1,proto_combo_full,0.09185818,0.14629039,0.09185818,0.14202644,0.59237874,0.6193648,0.625164,0.5780435,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.01187081,0.01187081,0.13500611,0.17439544,0.06462257,0.06470318,0.08459948,0.064840466,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.24024905,0.24024905,0.679612,0.6903345,1.0577971,1.0854771,1.0935851,1.0631065,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.0062738513,0.0062738513,0.14437132,0.20566279,0.02413038,0.022521688,0.063877486,0.03516689,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.21663062,0.21663062,0.85953087,0.65263474,0.78324634,0.7681067,0.76179373,0.78629243,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,train
1,proto_combo_full,0.25836214,0.42049396,0.25836214,0.30579394,0.35475037,0.3831443,0.37770697,0.33296654,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.0025207226,0.0025207226,0.121013425,0.1803064,0.03723354,0.03623823,0.19839746,0.057870153,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,train
1,proto_combo_full,0.3931886,0.4221306,0.3931886,0.4564627,0.47560316,0.46585423,0.46741676,0.48615175,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,train
2,proto_direction_amp,0.07459752,0.1167936,0.10103431,0.07459752,0.16997427,0.16309762,0.12657958,0.18912223,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.4272091,0.4272091,0.6351213,0.6255929,0.7797929,0.82166845,0.8167242,0.7643507,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.24321981,0.24321981,0.26673985,0.26906937,0.6440189,0.6676272,0.67249686,0.62424564,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.30074802,0.30074802,0.6223396,0.6223396,0.8067444,0.7762075,0.77958846,0.7977349,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.29294172,0.29294172,0.5886728,0.43431273,0.52041227,0.49957907,0.49135438,0.5200316,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.03106068,0.03106068,0.16785067,0.207208,0.042687155,0.042206306,0.16543345,0.055931784,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,train
