feature,input_status,reason
sample_id,excluded,identifier_or_split
event_uid,excluded,identifier_or_split
subject,excluded,identifier_or_split
session_stamp,excluded,identifier_or_split
anchor_time_rel_s,allowed,pre_event_context_or_candidate_prediction_only
curvature_anchor,allowed,pre_event_context_or_candidate_prediction_only
event_type,allowed,pre_event_context_or_candidate_prediction_only
event_level,allowed,pre_event_context_or_candidate_prediction_only
road_type_anchor,allowed,pre_event_context_or_candidate_prediction_only
road_design_module_name,allowed,pre_event_context_or_candidate_prediction_only
road_design_instance_name,allowed,pre_event_context_or_candidate_prediction_only
road_design_risk_class,allowed,pre_event_context_or_candidate_prediction_only
road_design_mapping_reliability,allowed,pre_event_context_or_candidate_prediction_only
split,excluded,identifier_or_split
top1_branch,allowed,pre_event_context_or_candidate_prediction_only
top1_prob,allowed,pre_event_context_or_candidate_prediction_only
prob_margin,allowed,pre_event_context_or_candidate_prediction_only
prob_entropy,allowed,pre_event_context_or_candidate_prediction_only
topk_branch_spread_mean,allowed,pre_event_context_or_candidate_prediction_only
topk_branch_spread_peak,allowed,pre_event_context_or_candidate_prediction_only
branch_peak_abs_spread,allowed,pre_event_context_or_candidate_prediction_only
rbf_kernel_ridge_context_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
rbf_kernel_ridge_context_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
rbf_kernel_ridge_context_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
keypoint_residual_vehicle_transformer_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
keypoint_residual_vehicle_transformer_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
keypoint_residual_vehicle_transformer_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_top1_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_top1_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_top1_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch0_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch0_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch0_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch1_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch1_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch1_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch2_no_subject__pred_peak_abs,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch2_no_subject__pred_peak_sign,allowed,pre_event_context_or_candidate_prediction_only
topk_vehicle_transformer_branch2_no_subject__pred_reversal_count,allowed,pre_event_context_or_candidate_prediction_only
label_diag__rbf_sample_rmse,excluded,label_derived_diagnostic
label_diag__rbf_topk_oracle_model,excluded,label_derived_diagnostic
label_diag__rbf_topk_oracle_rmse,excluded,label_derived_diagnostic
label_diag__rbf_topk_oracle_gain_over_rbf,excluded,label_derived_diagnostic
label_diag__rbf_topk_oracle_uses_non_rbf,excluded,label_derived_diagnostic
label_diag__broad_oracle_model,excluded,label_derived_diagnostic
label_diag__broad_oracle_rmse,excluded,label_derived_diagnostic
label_diag__broad_oracle_gain_over_rbf,excluded,label_derived_diagnostic
label_diag__broad_oracle_uses_non_rbf,excluded,label_derived_diagnostic
