model_name,difficult_top20_rmse_test,difficult_top20_rmse_train,difficult_top20_rmse_val,large_response_recall_test,large_response_recall_train,large_response_recall_val,rmse_delta_vs_rbf_test,rmse_delta_vs_rbf_train,rmse_delta_vs_rbf_val,rmse_steer_test,rmse_steer_train,rmse_steer_val,wrong_side_rate_test,wrong_side_rate_train,wrong_side_rate_val,train_rmse_rank,val_rmse_rank,test_rmse_rank,val_test_delta_swing,val_test_rank_shift,is_selected_by_val_gate,is_test_best_non_oracle,diagnostic_status,difficult_rmse_delta_vs_rbf_train,wrong_side_delta_vs_rbf_train,large_recall_delta_vs_rbf_train,difficult_rmse_delta_vs_rbf_val,wrong_side_delta_vs_rbf_val,large_recall_delta_vs_rbf_val,difficult_rmse_delta_vs_rbf_test,wrong_side_delta_vs_rbf_test,large_recall_delta_vs_rbf_test,abs_train_val_delta_gap,score_stability_l05,score_stability_l10,score_val_plus_difficult,score_val_plus_physical
rbf_resid_keypoint_scaled,0.6011384995581358,0.4389654952522275,0.9437008591955212,0.875,0.9787234042553192,0.6,-0.0251289766122241,-0.0188353553556848,0.0171486080650282,0.5085377128267329,0.3112756044961108,0.5886308328455361,0.175,0.0797872340425532,0.0952380952380952,2.0,8.0,1.0,-0.0422775846772523,-7.0,False,True,test_best_diagnostic_only,-0.08172660352379346,0.021276595744680896,0.06382978723404265,0.032768315498096,-0.023809523809523794,0.09999999999999998,-0.07776846477945476,-0.05000000000000002,0.125,0.035983963420713,0.0351405897753847,0.0531325714857412,0.028617518489361803,0.02074989021226645
rbf_resid_keypoint_scaled_blend_50,0.6322466402875668,0.4580118207005151,0.9199259618913735,0.875,0.9787234042553192,0.5,-0.0182020910183762,-0.0228778743855816,0.004254010107307,0.5154645984205808,0.307233085466214,0.5757362348878149,0.175,0.0691489361702127,0.0952380952380952,1.0,6.0,2.0,-0.0224561011256832,-4.0,False,False,other_candidate,-0.06268027807550586,0.0106382978723404,0.06382978723404265,0.008993418193948388,-0.023809523809523794,0.0,-0.04666032405002374,-0.05000000000000002,0.125,0.0271318844928886,0.0178199523537513,0.0313858946001956,0.007401706475188936,0.005100312793715726
rbf_abs_keypoint_scaled_blend_50,0.6490665242491951,0.4885450120364362,0.927460624898049,0.75,0.9787234042553192,0.6,-0.0071529692346886,-0.0152841522088939,0.0143584561431941,0.5265137202042683,0.3148268076429017,0.585840680923702,0.225,0.0638297872340425,0.0952380952380952,3.0,7.0,3.0,-0.0215114253778826,-4.0,False,False,other_candidate,-0.032147086739584774,0.0053191489361702066,0.06382978723404265,0.01652808120062388,-0.023809523809523794,0.09999999999999998,-0.02984044008839548,0.0,0.0,0.029642608352088,0.0291797603192381,0.0440010644952821,0.020143284563412456,0.014711691430937923
segment_resid_rf_blend_25,0.6493190971901747,0.5378660365664473,0.9039750658300448,0.75,0.9574468085106383,0.5,-0.0056203586651889,0.0076249842728841,-0.0067775069957183,0.5280463307737681,0.3377359441246798,0.5647047177847895,0.225,0.0691489361702127,0.0714285714285714,6.0,3.0,4.0,0.0011571483305294,1.0,False,False,other_candidate,0.017173937790426308,0.0106382978723404,0.042553191489361764,-0.006957477867380324,-0.0476190476190476,0.0,-0.029587867147415903,0.0,0.0,0.0144024912686024,0.0004237386385829,0.0076249842728841,-0.009212624249301414,-0.010073764473956269
segment_resid_rf_blend_50,0.632473371366548,0.590473584430477,0.9102591639156992,0.875,0.9574468085106383,0.5,0.0003490116220806,0.0372230025707797,-0.0034564055731501,0.5340157010610377,0.3673339624225754,0.5680258192073576,0.2,0.0691489361702127,0.0714285714285714,8.0,4.0,6.0,0.0038054171952307,2.0,False,False,other_candidate,0.06978148565445608,0.0106382978723404,0.042553191489361764,-0.0006733797817259912,-0.0476190476190476,0.0,-0.04643359297104255,-0.024999999999999994,0.125,0.0406794081439298,0.0168832984988148,0.0372230025707797,-0.003692088496754197,-0.0054958434342572025
segment_abs_rf_blend_25,0.6562837269029899,0.5529087369268088,0.8880061653466,0.75,0.9361702127659576,0.5,0.0025089609569075,0.0125705089631109,-0.010339187234899,0.5361756503958646,0.3426814688149066,0.5611430375456088,0.225,0.0531914893617021,0.119047619047619,7.0,1.0,7.0,0.0128481481918065,6.0,True,False,selected_by_val_gate,0.03221663815078779,-0.0053191489361702,0.021276595744680993,-0.022926378350825116,0.0,0.0,-0.022623237434600707,0.0,0.0,0.0229096961980099,0.001115660864105951,0.012570508963110901,-0.018363419657687792,-0.014924462905064023
rbf_abs_keypoint_scaled,0.6352362146932208,0.5134295977235017,0.9591082925992118,0.875,0.9574468085106383,0.6,0.0041122294984521,-0.0004493230916358,0.0406313402655796,0.5377789189374091,0.3296616367601598,0.6121135650460875,0.2,0.0691489361702127,0.0952380952380952,4.0,12.0,8.0,-0.0365191107671275,-4.0,False,False,other_candidate,-0.0072625010525192435,0.0106382978723404,0.042553191489361764,0.048175748901786664,-0.023809523809523794,0.09999999999999998,-0.04367074964436979,-0.024999999999999994,0.125,0.0410806633572154,0.0611716719441873,0.081712003622795,0.05749285238120493,0.047314109093555975
keypoint_residual_vehicle_transformer_no_subject,0.7288581959265881,0.9067564105933168,0.95711332634618,0.875,0.723404255319149,0.5,0.0153264665201302,0.2335871837067394,0.0268182393730468,0.5489931559590873,0.5636981435585351,0.5983004641535546,0.125,0.1382978723404255,0.0952380952380952,16.0,9.0,9.0,-0.0114917728529166,0.0,False,False,other_candidate,0.38606431181729584,0.07978723404255321,-0.1914893617021276,0.0461807826487548,-0.023809523809523794,0.0,0.0499512315889975,-0.1,0.125,0.20676894433369258,0.1302027115398931,0.2335871837067394,0.04298151330011098,0.03510201495041681
segment_abs_rf_blend_50,0.6436134614946941,0.6164112667063134,0.8779189278335082,0.75,0.9361702127659576,0.6,0.01753670449463,0.0461273579375521,-0.0083035726806554,0.5512033939335871,0.3762383177893478,0.5631786520998524,0.225,0.0585106382978723,0.119047619047619,9.0,2.0,10.0,0.0258402771752854,8.0,False,False,other_candidate,0.09571916793029245,0.0,0.021276595744680993,-0.033013615863916934,0.0,0.09999999999999998,-0.03529350284289645,0.0,0.0,0.0544309306182075,0.01891189262844835,0.0461273579375521,-0.019858338233026327,-0.016906295853438787
topk_vehicle_transformer_branch0_no_subject,0.6981974897505622,0.6536547551264176,0.969088682693656,0.75,0.7659574468085106,0.3,0.0214220404118482,0.0980651495508485,0.0495361009785028,0.5550887298508053,0.4281761094026442,0.6210183257590106,0.05,0.0904255319148936,0.119047619047619,10.0,13.0,11.0,-0.0281140605666545,-2.0,False,False,other_candidate,0.1329626563503966,0.031914893617021295,-0.14893617021276595,0.058156138996230844,0.0,-0.2,0.019290525412971604,-0.175,0.0,0.0485290485723457,0.07380062526467565,0.0980651495508485,0.06989074962718358,0.06516732877774897
segment_resid_rf_piecewise,0.6402789381316668,0.7687106942899514,0.9609670827097576,0.875,0.9787234042553192,0.6,0.0449295607063892,0.1431761049346018,0.0323095533199576,0.5785962501453462,0.4732870647863975,0.6037917781004655,0.2,0.0904255319148936,0.0714285714285714,12.0,11.0,12.0,0.0126200073864315,1.0,False,False,other_candidate,0.24801859551393046,0.031914893617021295,0.06382978723404265,0.05003453901233246,-0.0476190476190476,0.09999999999999998,-0.03862802620592376,-0.024999999999999994,0.125,0.1108665516146442,0.08774282912727971,0.1431761049346018,0.04982164197427396,0.03841169921766219
topk_vehicle_transformer_top1_no_subject,0.71709414927741,0.6973613610061375,0.9924749185550682,0.75,0.723404255319149,0.3,0.0541983237802371,0.121321159724394,0.0605844704578906,0.5878650132191942,0.4514321195761896,0.6320666952383984,0.1,0.1063829787234042,0.119047619047619,11.0,14.0,13.0,-0.0063861466776535,-1.0,False,False,other_candidate,0.17666926223011659,0.0478723404255319,-0.1914893617021276,0.08154237485764304,0.0,-0.2,0.03818718493981943,-0.125,0.0,0.0607366892665034,0.09095281509114231,0.121321159724394,0.08912430165806566,0.08089294542941922
topk_vehicle_transformer_branch1_no_subject,0.8401767015122311,0.7427164913289922,1.0032834112732236,0.75,0.7659574468085106,0.6,0.055954384066075,0.2038277369867219,0.0967760959418736,0.589621073505032,0.5339386968385176,0.6682583207223814,0.025,0.1063829787234042,0.1428571428571428,15.0,15.0,14.0,-0.0408217118757986,-1.0,False,False,other_candidate,0.22202439255297124,0.0478723404255319,-0.14893617021276595,0.09235086757579847,0.023809523809523794,0.09999999999999998,0.16126973717464055,-0.2,0.0,0.10705164104484831,0.15030191646429775,0.2038277369867219,0.12909889959340307,0.11419865040941425
segment_abs_rf_piecewise,0.6500055451455937,0.8046572710393162,0.8974433900812355,0.875,0.9574468085106383,0.7,0.0807248207383229,0.1565168976580323,0.0316304868543948,0.61439151017728,0.486627857509828,0.6031127116349027,0.225,0.0638297872340425,0.119047619047619,13.0,10.0,15.0,0.0490943338839281,5.0,False,False,other_candidate,0.2839651722632952,0.0053191489361702066,0.042553191489361764,-0.01348915361618963,0.0,0.19999999999999996,-0.028901419191996847,0.0,0.125,0.12488641080363752,0.09407369225621356,0.1565168976580323,0.026909283088728427,0.02493265613115687
topk_vehicle_transformer_branch2_no_subject,0.7227371667490082,0.7294846770610872,1.048483084574792,0.625,0.7446808510638298,0.4,0.1515405950860672,0.1588386913730862,0.1328149040483199,0.6852072845250242,0.4889496512248819,0.7042971288288278,0.15,0.1170212765957446,0.119047619047619,14.0,16.0,16.0,0.0187256910377473,0.0,False,False,other_candidate,0.20879257828506625,0.0585106382978723,-0.17021276595744683,0.13755054087736673,0.0,-0.09999999999999998,0.04383020241141766,-0.07500000000000001,-0.125,0.026023787324766318,0.14582679771070306,0.1588386913730862,0.18095759335539824,0.16232501222379325
