sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rbf_sample_rmse,selected_sample_rmse,gain_over_rbf,selected_better_than_rbf
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,test,1.983918070793152,1,1,0.5038022994995117,0.4172570705413818,0.08654522895812994,True
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655,tyy,2025_09_28_14_44_09,test,0.7096503973007202,0,0,0.5553957223892212,0.4742754399776459,0.08112028241157532,True
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,test,1.254542589187622,0,0,0.3514051735401153,0.306567519903183,0.04483765363693232,True
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,test,2.333853006362915,1,1,0.6746935844421387,0.6343329548835754,0.04036062955856323,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,test,2.594604015350342,1,1,1.0713049173355105,1.031409502029419,0.03989541530609153,True
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,test,0.1583000421524047,0,0,0.1723215728998184,0.1345327645540237,0.037788808345794705,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,test,2.043076992034912,1,1,0.5194991827011108,0.4817145764827728,0.03778460621833801,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,test,0.518537700176239,0,0,0.5139289498329163,0.4775086641311645,0.036420285701751764,True
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660,hzh,2025_09_26_21_03_19,test,0.7967429757118225,0,0,0.3777364194393158,0.3423123061656952,0.035424113273620605,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,test,1.0026919841766355,0,0,0.510627806186676,0.4804078936576843,0.0302199125289917,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,test,0.2288129925727844,0,0,0.2965598702430725,0.267845869064331,0.02871400117874151,True
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860,hzh,2025_09_27_19_44_05,test,0.9915213584899902,0,0,0.3613468110561371,0.3326886296272278,0.028658181428909302,True
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,test,0.5717697739601135,0,0,0.3666880428791046,0.3384898602962494,0.028198182582855225,True
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre3_label3_response_coverage,vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350,zxy,2025_09_28_15_57_38,test,0.5749120116233826,0,0,0.3201940357685089,0.2921448349952698,0.028049200773239136,True
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,test,1.1232937574386597,0,0,0.2432198077440261,0.218055710196495,0.0251640975475311,True
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,test,2.145881175994873,1,1,0.9934884309768676,0.9754872918128968,0.018001139163970725,True
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,test,1.016481637954712,0,0,0.9599702954292296,0.942658543586731,0.01731175184249867,True
